fecha,cliente,medio,titular,texto,alcance
2026-05-26,Nortia Retail,El Pais,Nortia Retail presenta su plan de omnicanalidad,La compania Nortia Retail ha comunicado avances en omnicanalidad.,84018
2026-06-02,Lumora,Business Insider Espana,Lumora apuesta por baterias,La compania Lumora ha comunicado avances en baterias.,20304
2026-05-10,Nortia Retail,Cinco Dias,Nortia Retail gana cuota en omnicanalidad,Nortia Retail destaca por su enfoque en omnicanalidad e inteligencia artificial.,45500
2026-06-12,Lumora,Expansion,Lumora y la inteligencia artificial en vehiculo electrico,Fuentes cercanas a Lumora confirman movimientos en vehiculo electrico.,63297
2026-07-12,Nortia Retail,El Confidencial,Nortia Retail crece en comercio electronico,Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,68963
2026-06-09,Lumora,Xataka,Lumora gana cuota en baterias,La compania Lumora ha comunicado avances en baterias.,59579
2026-05-08,Nortia Retail,El Pais,"Entrevista al CEO de Nortia Retail: ""campana de rebajas es el futuro""",Nortia Retail destaca por su enfoque en campana de rebajas e inteligencia artificial.,126534
2026-05-07,Lumora,Europa Press,Lumora refuerza su estrategia de vehiculo electrico,La compania Lumora ha comunicado avances en vehiculo electrico.,64983
2026-05-25,Velfy,Xataka,Velfy refuerza su compromiso con la sostenibilidad,Velfy destaca por su enfoque en criptoactivos e inteligencia artificial.,52056
2026-05-18,Lumora,Xataka,Analisis: el futuro de puntos de recarga segun Lumora,Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,84170
2026-06-04,Velfy,Europa Press,Velfy refuerza su estrategia de pagos digitales,Fuentes cercanas a Velfy confirman movimientos en pagos digitales.,78358
2026-06-10,Brio Energia,La Razon,Brio Energia refuerza su estrategia de parque solar,"El reportaje analiza la posicion de Brio Energia en parque solar, con datos del ultimo trimestre.",25662
2026-07-07,Nortia Retail,El Pais,Nortia Retail y la inteligencia artificial en logistica de ultima milla,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",91034
2026-05-14,Nortia Retail,Xataka,Nortia Retail presenta su plan de campana de rebajas,Fuentes cercanas a Nortia Retail confirman movimientos en campana de rebajas.,35834
2026-06-08,Brio Energia,El Espanol,Brio Energia refuerza su compromiso con la sostenibilidad,La compania Brio Energia ha comunicado avances en hidrogeno verde.,97319
2026-05-28,Lumora,La Razon,Lumora y la inteligencia artificial en vehiculo electrico,Fuentes cercanas a Lumora confirman movimientos en vehiculo electrico.,34946
2026-07-03,Nortia Retail,El Pais,Nortia Retail gana cuota en comercio electronico,"Segun el articulo, Nortia Retail continua su expansion en comercio electronico.",145943
2026-07-05,Lumora,El Economista,"Lumora crece en flotas, segun fuentes del sector",Fuentes cercanas a Lumora confirman movimientos en flotas.,53542
2026-07-02,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
14/07/2026,Nortia Retail,El Economista,Nortia Retail gana cuota en tiendas fisicas,"El reportaje analiza la posicion de Nortia Retail en tiendas fisicas, con datos del ultimo trimestre.",55000
2026-06-07,Velfy,El Pais,Analisis: el futuro de app de finanzas segun Velfy,La compania Velfy ha comunicado avances en app de finanzas.,74950
2026-06-08,Nortia Retail,El Economista,Nortia Retail lidera tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,45090
2026-06-13,Brio Energia,Expansion,Brio Energia invierte en parque solar,Fuentes cercanas a Brio Energia confirman movimientos en parque solar.,59042
2026-05-18,Nortia Retail,Business Insider Espana,Nortia Retail gana cuota en logistica de ultima milla,"Segun el articulo, Nortia Retail continua su expansion en logistica de ultima milla.",28092
2026-07-03,Lumora,Cinco Dias,Lumora y la inteligencia artificial en vehiculo electrico,Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,60461
2026-05-16,Velfy,La Vanguardia,Velfy invierte en app de finanzas,"Segun el articulo, Velfy continua su expansion en app de finanzas.",41744
5 de junio de 2026,Lumora,ABC,Lumora presenta su plan de puntos de recarga,"El reportaje analiza la posicion de Lumora en puntos de recarga, con datos del ultimo trimestre.",90000
2026-05-07,Velfy,ABC,Velfy cierra un acuerdo en criptoactivos,"El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",
2026-05-15,Nortia Retail,El Confidencial,Nortia Retail anuncia novedades en omnicanalidad,"Segun el articulo, Nortia Retail continua su expansion en omnicanalidad.",70443
2026-07-27,Brio Energia,Business Insider Espana,Brio Energia cierra un acuerdo en autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,32775
2026-05-12,Brio Energia,Xataka,Brio Energia invierte en hidrogeno verde,Fuentes cercanas a Brio Energia confirman movimientos en hidrogeno verde.,54238
